Time (s),Min Depth (m),Throttle
14.593956232070923,0.0,0.0
14.659759759902954,0.0,0.0
14.727758884429932,0.0,0.0
14.792844772338867,0.0,0.0
14.860658884048462,0.0,0.0
14.927062273025513,0.0,0.0
14.994077444076538,0.0,0.0
15.059717655181885,0.0,0.0
15.127431392669678,1.9310001,0.06
15.192877054214478,0.0,0.0
15.261613845825195,0.0,0.0
15.326754570007324,1.96,0.06
15.394077777862549,0.0,0.0
15.459614038467407,0.0,0.0
15.528527021408081,0.0,0.0
15.593704223632812,0.0,0.0
15.662850618362427,1.9130001,0.06
15.728972673416138,0.0,0.0
15.795404195785522,0.0,0.0
15.859596490859985,0.0,0.0
15.927725076675415,0.0,0.0
15.993112325668335,0.0,0.0
16.06246042251587,0.0,0.0
16.127095699310303,0.0,0.0
16.194828033447266,0.0,0.0
16.26044464111328,0.0,0.0
16.329729795455933,0.0,0.0
16.392592191696167,0.0,0.0
16.461291313171387,0.0,0.0
16.526090383529663,0.0,0.0
16.593724966049194,0.0,0.0
16.662410497665405,0.0,0.0
16.730718851089478,0.0,0.0
16.79585361480713,0.0,0.0
16.86375379562378,0.0,0.0
16.92695140838623,0.0,0.0
16.995505571365356,0.0,0.0
17.063379764556885,0.0,0.0
17.127071619033813,0.0,0.0
17.19262719154358,0.0,0.0
17.260541915893555,0.0,0.0
17.327001810073853,0.0,0.0
17.39348864555359,0.0,0.0
17.459545135498047,0.0,0.0
17.529250621795654,0.0,0.0
17.592820405960083,0.0,0.0
17.660696506500244,0.0,0.0
17.726027965545654,0.0,0.0
17.7948215007782,0.0,0.0
17.86024570465088,0.0,0.0
17.928139686584473,0.0,0.0
17.99316954612732,0.0,0.0
18.060295343399048,0.0,0.0
18.125856399536133,0.0,0.0
18.193464279174805,0.0,0.0
18.260040998458862,0.0,0.0
18.328779697418213,0.0,0.0
18.39266872406006,0.0,0.0
18.460201025009155,0.0,0.0
18.526220083236694,0.0,0.0
18.59335732460022,0.0,0.0
18.65942096710205,0.0,0.0
18.727883338928223,0.0,0.0
18.79354453086853,0.0,0.0
18.86334538459778,0.0,0.0
18.927877187728882,0.0,0.0
18.99431324005127,0.0,0.0
19.05963945388794,0.0,0.0
19.12746238708496,0.0,0.0
19.192856550216675,0.0,0.0
19.260141134262085,0.0,0.0
19.32589292526245,0.0,0.0
19.393373012542725,0.0,0.0
19.458986520767212,0.0,0.0
19.52767777442932,0.0,0.0
19.594777822494507,0.0,0.0
19.660320520401,0.0,0.0
19.728003978729248,0.0,0.0
19.79318618774414,0.0,0.0
19.86075520515442,0.0,0.0
19.92963933944702,0.0,0.0
19.994330644607544,0.0,0.0
20.060145378112793,0.0,0.0
20.125932216644287,0.0,0.0
20.193377017974854,0.0,0.0
20.258901119232178,0.0,0.0
20.326942205429077,0.0,0.0
20.39244031906128,0.0,0.0
20.459927320480347,0.0,0.0
20.526350736618042,0.0,0.0
20.59449863433838,0.0,0.0
20.659835815429688,0.0,0.0
20.72695231437683,0.0,0.0
20.792258501052856,0.0,0.0
20.859843254089355,0.0,0.0
20.925939798355103,0.0,0.0
20.993179321289062,0.0,0.0
21.061745166778564,0.0,0.0
21.12669849395752,0.0,0.0
21.192342519760132,0.0,0.0
21.25994086265564,0.0,0.0
21.325764179229736,0.0,0.0
21.39319658279419,0.0,0.0
21.459019899368286,0.0,0.0
21.526821613311768,0.0,0.0
21.59294819831848,0.0,0.0
21.659963369369507,0.0,0.0
21.725727319717407,0.0,0.0
21.79323148727417,0.0,0.0
21.860233306884766,0.0,0.0
21.927006721496582,0.0,0.0
21.992480754852295,0.0,0.0
22.059982776641846,0.0,0.0
22.125821828842163,0.0,0.0
22.19399380683899,0.0,0.0
22.2590491771698,0.0,0.0
22.327207803726196,0.0,0.0
22.394432067871094,0.0,0.0
22.460942268371582,0.0,0.0
22.52550721168518,0.0,0.0
22.593265295028687,0.0,0.0
